Quyết định số 3500/QĐ-BYT ngày 19/11/2024 về việc điều chỉnh giá dịch vụ khám bệnh, chữa bệnh áp dụng tại Bệnh viện Nhi Trung ương.
Phụ lục III
GIÁ DỊCH VỤ KỸ THUẬT VÀ XÉT NGHIỆM
(Ban hành kèm theo Quyết định số 3500/QĐ-BYT ngày 19/11/2024 của Bộ Y tế)
Đơn vị tính: đồng
| STT | Mã tương đương | Tên kỹ thuật - TT 23/2024 | Tên dịch vụ giá (tên KT theo TT 23/2024) | Mức giá | Ghi chú |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 4310 | 13.0121.0688 | Phẫu thuật nội soi buồng tử cung cắt nhân xơ tử cung dưới niêm mạc | Phẫu thuật nội soi buồng tử cung cắt nhân xơ tử cung dưới niêm mạc | 5.990.300 |  |
| 4311 | 13.0122.0688 | Phẫu thuật nội soi buồng tử cung cắt polyp buồng tử cung | Phẫu thuật nội soi buồng tử cung cắt polyp buồng tử cung | 5.990.300 |  |
| 4312 | 13.0125.0688 | Phẫu thuật nội soi buồng tử cung cắt vách ngăn tử cung | Phẫu thuật nội soi buồng tử cung cắt vách ngăn tử cung | 5.990.300 |  |
| 4313 | 27.0422.0688 | Phẫu thuật nội soi buồng tử cung cắt polyp | Phẫu thuật nội soi buồng tử cung cắt polyp | 5.990.300 |  |
| 4314 | 27.0425.0688 | Phẫu thuật nội soi buồng tử cung cắt vách ngăn | Phẫu thuật nội soi buồng tử cung cắt vách ngăn | 5.990.300 |  |
| 4315 | 03.4137.0689 | Phẫu thuật nội soi cắt phần phụ | Phẫu thuật nội soi cắt phần phụ | 5.503.300 |  |
| 4316 | 03.4141.0689 | Phẫu thuật nội soi cắt u buồng trứng và phần phụ | Phẫu thuật nội soi cắt u buồng trứng và phần phụ | 5.503.300 |  |
| 4317 | 03.4140.0689 | Phẫu thuật nội soi cắt u nang buồng trứng | Phẫu thuật nội soi cắt u nang buồng trứng | 5.503.300 |  |
| 4318 | 03.4139.0689 | Phẫu thuật nội soi điều trị buồng trứng bị xoắn | Phẫu thuật nội soi điều trị buồng trứng bị xoắn | 5.503.300 |  |
| 4319 | 13.0082.0689 | Phẫu thuật nội soi cắt u nang buồng trứng kèm triệt sản | Phẫu thuật nội soi cắt u nang buồng trứng kèm triệt sản | 5.503.300 |  |
| 4320 | 13.0080.0689 | Phẫu thuật nội soi cắt u nang buồng trứng xoắn | Phẫu thuật nội soi cắt u nang buồng trứng xoắn | 5.503.300 |  |
| 4321 | 13.0081.0689 | Phẫu thuật nội soi cắt u nang buồng trứng, nang cạnh vòi tử cung | Phẫu thuật nội soi cắt u nang buồng trứng, nang cạnh vòi tử cung | 5.503.300 |  |
| 4322 | 13.0088.0689 | Phẫu thuật nội soi thai ngoài tử cung vỡ | Phẫu thuật nội soi thai ngoài tử cung vỡ | 5.503.300 |  |
| 4323 | 27.0433.0689 | Cắt u buồng trứng qua nội soi | Cắt u buồng trứng qua nội soi | 5.503.300 |  |
| 4324 | 27.0431.0689 | Phẫu thuật nội soi cắt góc buồng trứng | Phẫu thuật nội soi cắt góc buồng trứng | 5.503.300 |  |
| 4325 | 27.0427.0689 | Phẫu thuật nội soi cắt tử cung hoàn toàn để lại 2 phần phụ | Phẫu thuật nội soi cắt tử cung hoàn toàn để lại 2 phần phụ | 5.503.300 |  |
| 4326 | 27.0434.0689 | Phẫu thuật nội soi u nang buồng trứng | Phẫu thuật nội soi u nang buồng trứng | 5.503.300 |  |
| 4327 | 03.4134.0690 | Phẫu thuật nội soi cắt tử cung bán phần | Phẫu thuật nội soi cắt tử cung bán phần | 6.346.300 |  |
| 4328 | 03.4135.0690 | Phẫu thuật nội soi cắt tử cung toàn phần | Phẫu thuật nội soi cắt tử cung toàn phần | 6.346.300 |  |
| 4329 | 13.0063.0690 | Phẫu thuật nội soi cắt tử cung hoàn toàn | Phẫu thuật nội soi cắt tử cung hoàn toàn | 6.346.300 |  |
| 4330 | 27.0436.0690 | Cắt u buồng trứng + tử cung qua nội soi | Cắt u buồng trứng + tử cung qua nội soi | 6.346.300 |  |
| 4331 | 27.0429.0690 | Phẫu thuật nội soi cắt góc tử cung ở người bệnh GEU | Phẫu thuật nội soi cắt góc tử cung ở người bệnh GEU | 6.346.300 |  |
| 4332 | 27.0428.0690 | Phẫu thuật nội soi cắt tử cung hoàn toàn + cắt 2 phần phụ | Phẫu thuật nội soi cắt tử cung hoàn toàn + cắt 2 phần phụ | 6.346.300 |  |
| 4333 | 27.0426.0690 | Phẫu thuật nội soi cắt tử cung vết hạch tiêu khung | Phẫu thuật nội soi cắt tử cung vết hạch tiêu khung | 6.346.300 |  |
| 4334 | 03.4131.0691 | Phẫu thuật nội soi cắt tử cung hoàn toàn + 2 phần phụ + vết hạch chậu 2 bên | Phẫu thuật nội soi cắt tử cung hoàn toàn + 2 phần phụ + vết hạch chậu 2 bên | 8.630.200 |  |
| 4335 | 03.4123.0691 | Phẫu thuật nội soi cắt tử cung hoàn toàn và vết hạch chậu 2 bên | Phẫu thuật nội soi cắt tử cung hoàn toàn và vết hạch chậu 2 bên | 8.630.200 |  |
| 4336 | 13.0055.0691 | Phẫu thuật nội soi cắt tử cung hoàn toàn và vết hạch chậu | Phẫu thuật nội soi cắt tử cung hoàn toàn và vết hạch chậu | 8.630.200 |  |
| 4337 | 03.2727.0692 | Cắt ung thư buồng trứng kèm cắt toàn bộ tử cung và mạc nối lớn | Cắt ung thư buồng trứng kèm cắt toàn bộ tử cung và mạc nối lớn | 8.769.200 |  |
| 4338 | 03.4132.0692 | Phẫu thuật nội soi cắt ung thư buồng trứng kèm cắt tử cung hoàn toàn + 2 phần phụ + mạc nối lớn | Phẫu thuật nội soi cắt ung thư buồng trứng kèm cắt tử cung hoàn toàn + 2 phần phụ + mạc nối lớn | 8.769.200 |  |
| 4339 | 13.0131.0697 | Phẫu thuật nội soi ổ bụng chẩn đoán các bệnh lý phụ khoa | Phẫu thuật nội soi ổ bụng chẩn đoán các bệnh lý phụ khoa | 5.395.300 |  |
| 4340 | 27.0417.0697 | Phẫu thuật nội soi ổ bụng chẩn đoán trong phụ khoa | Phẫu thuật nội soi ổ bụng chẩn đoán trong phụ khoa | 5.395.300 |  |
| 4341 | 03.4124.0701 | Phẫu thuật nội soi vết hạch tiêu khung | Phẫu thuật nội soi vết hạch tiêu khung | 6.964.200 |  |
| 4342 | 27.0420.0701 | Phẫu thuật vét hạch tiêu khung qua nội soi | Phẫu thuật vét hạch tiêu khung qua nội soi | 6.964.200 |  |
