Quyết định số 3500/QĐ-BYT ngày 19/11/2024 về việc điều chỉnh giá dịch vụ khám bệnh, chữa bệnh áp dụng tại Bệnh viện Nhi Trung ương.
Phụ lục III
GIÁ DỊCH VỤ KỸ THUẬT VÀ XÉT NGHIỆM
(Ban hành kèm theo Quyết định số 3500/QĐ-BYT ngày 19/11/2024 của Bộ Y tế)
Đơn vị tính: đồng
| STT | Mã tương đương | Tên kỹ thuật - TT 23/2024 | Tên dịch vụ giá (tên KT theo TT 23/2024) | Mức giá | Ghi chú |
| 4343 | 03.4133.0702 | Phẫu thuật nội soi xử trí viêm phúc mạc tiêu khung, viêm phân phụ, ứ mù vòi trứng | Phẫu thuật nội soi xử trí viêm phúc mạc tiêu khung, viêm phân phụ, ứ mù vòi trứng | 7.279.100 |  |
| 4344 | 27.0419.0702 | Phẫu thuật nội soi viêm phân phụ | Phẫu thuật nội soi viêm phân phụ | 7.279.100 |  |
| 4345 | 27.0412.0702 | Phẫu thuật nội soi xử lý viêm phúc mạc tiêu khung | Phẫu thuật nội soi xử lý viêm phúc mạc tiêu khung | 7.279.100 |  |
| 4346 | 03.2724.0703 | Phẫu thuật Second Look trong ung thư buồng trứng | Phẫu thuật Second Look trong ung thư buồng trứng | 4.451.200 |  |
| 4347 | 12.0301.0703 | Phẫu thuật second-look trong ung thư buồng trứng | Phẫu thuật second-look trong ung thư buồng trứng | 4.451.200 |  |
| 4348 | 03.2250.0704 | Phẫu thuật tạo hình âm đạo (nội soi kết hợp đường dưới) | Phẫu thuật tạo hình âm đạo (nội soi kết hợp đường dưới) | 6.640.200 |  |
| 4349 | 03.2251.0705 | Phẫu thuật tạo hình âm đạo do dị dạng (đường dưới) | Phẫu thuật tạo hình âm đạo do dị dạng (đường dưới) | 4.230.100 |  |
| 4350 | 03.3556.0705 | Tạo hình âm đạo | Tạo hình âm đạo | 4.230.100 |  |
| 4351 | 03.3566.0705 | Tạo hình âm đạo bằng ruột | Tạo hình âm đạo bằng ruột | 4.230.100 |  |
| 4352 | 03.3559.0705 | Tạo hình âm đạo, ghép da trên khuôn nong | Tạo hình âm đạo, ghép da trên khuôn nong | 4.230.100 |  |
| 4353 | 28.0312.0705 | Phẫu thuật tạo hình âm đạo trong lưỡng giới | Phẫu thuật tạo hình âm đạo trong lưỡng giới | 4.230.100 |  |
| 4354 | 13.0106.0706 | Phẫu thuật tạo hình tử cung (Strassman, Jones) | Phẫu thuật tạo hình tử cung (Strassman, Jones) | 5.324.200 |  |
| 4355 | 10.0305.0710 | Phẫu thuật treo thận | Phẫu thuật treo thận | 3.131.800 |  |
| 4356 | 12.0293.0711 | Phẫu thuật Wertheim-Meig điều trị ung thư - cổ tử cung | Phẫu thuật Wertheim-Meig điều trị ung thư - cổ tử cung | 6.895.100 |  |
| 4357 | 13.0062.0711 | Phẫu thuật Wertheim (cắt tử cung tận gốc + vét hạch) | Phẫu thuật Wertheim (cắt tử cung tận gốc + vét hạch) | 6.895.100 |  |
| 4358 | 13.0154.0712 | Sinh thiết cổ tử cung, âm hộ, âm đạo | Sinh thiết cổ tử cung, âm hộ, âm đạo | 414.500 |  |
| 4359 | 12.0277.0714 | Sinh thiết hạch gác cửa trong ung thư vú | Sinh thiết hạch gác cửa trong ung thư vú | 2.367.500 |  |
| 4360 | 13.0173.0714 | Sinh thiết hạch gác (cửa) trong ung thư vú | Sinh thiết hạch gác (cửa) trong ung thư vú | 2.367.500 |  |
| 4361 | 03.2798.0718 | Tiêm hóa chất vào nhân ung thư nguyên bào nuôi | Tiêm hóa chất vào nhân ung thư nguyên bào nuôi | 290.800 |  |
| 4362 | 13.0144.0721 | Thủ thuật xoắn polyp cổ tử cung, âm đạo | Thủ thuật xoắn polyp cổ tử cung, âm đạo | 436.200 |  |
| 4363 | 13.0178.0727 | Thay máu sơ sinh | Thay máu sơ sinh | 700.200 |  |
| 4364 | 03.1692.0730 | Bơm rửa lệ đạo | Bơm rửa lệ đạo | 41.200 |  |
| 4365 | 03.1656.0732 | Cắt bỏ túi lệ | Cắt bỏ túi lệ | 930.200 |  |
| 4366 | 14.0074.0733 | Lấy dị vật nội nhân bằng nam châm | Lấy dị vật nội nhân bằng nam châm | 1.322.100 | Chưa bao gồm đầu cắt dịch kính, đầu laser, dây dẫn sáng. |
| 4367 | 14.0088.0736 | Cắt u kết mạc có hoặc không u giác mạc không ghép | Cắt u kết mạc có hoặc không u giác mạc không ghép | 1.252.600 |  |
| 4368 | 14.0089.0736 | Cắt u kết mạc, giác mạc có ghép kết mạc, màng ôi hoặc giác mạc | Cắt u kết mạc, giác mạc có ghép kết mạc, màng ôi hoặc giác mạc | 1.252.600 |  |
| 4369 | 03.2549.0737 | Cắt u kết mạc không và | Cắt u kết mạc không và | 768.600 |  |
| 4370 | 03.2548.0737 | Cắt u kết mạc, giác mạc không và | Cắt u kết mạc, giác mạc không và | 768.600 |  |
| 4371 | 03.1659.0738 | Cắt bỏ chấp có bọc | Cắt bỏ chấp có bọc | 85.500 |  |
| 4372 | 03.1693.0738 | Trích chấp, lẹo, trích áp xe mi, kết mạc | Trích chấp, lẹo, trích áp xe mi, kết mạc | 85.500 |  |
| 4373 | 14.0207.0738 | Trích chấp, lẹo, nang lồng mi; trích áp xe mi, kết mạc | Trích chấp, lẹo, nang lồng mi; trích áp xe mi, kết mạc | 85.500 |  |
| 4374 | 14.0169.0738 | Trích dẫn lưu túi lệ | Trích dẫn lưu túi lệ | 85.500 |  |
| 4375 | 03.1591.0739 | Trích mù mắt | Trích mù mắt | 510.700 |  |
| 4376 | 03.1673.0740 | Bơm hơi tiền phòng | Bơm hơi tiền phòng | 1.244.100 |  |
| 4377 | 14.0292.0742 | Chụp mạch ký huỳnh quang | Chụp mạch ký huỳnh quang | 322.000 | Chưa bao gồm thuốc |
| 4378 | 14.0246.0742 | Chụp mạch với ICG | Chụp mạch với ICG | 322.000 | Chưa bao gồm thuốc |
| 4379 | 14.0272.0744 | Điện châm kích thích | Điện châm kích thích | 427.500 |  |
| 4380 | 03.1687.0745 | Điện di điều trị | Điện di điều trị | 27.500 |  |
| 4381 | 03.1672.0746 | Điện đồng thể mi | Điện đồng thể mi | 562.100 |  |
| 4382 | 14.0274.0747 | Điện nhân cầu | Điện nhân cầu | 112.800 |  |
| 4383 | 14.0273.0747 | Điện vồng mạc | Điện vồng mạc | 112.800 |  |
| 4384 | 03.1553.0748 | laser hồng ngoại điều trị tật khúc xạ | laser hồng ngoại điều trị tật khúc xạ | 43.600 |  |
| 4385 | 03.1654.0748 | Tập nhược thị | Tập nhược thị | 43.600 |  |
| 4386 | 14.0033.0748 | Điều trị laser hồng ngoại | Điều trị laser hồng ngoại | 43.600 |  |
| 4387 | 03.1550.0749 | Điều trị một số bệnh võng mạc bằng laser | Điều trị một số bệnh võng mạc bằng laser | 438.500 |  |
| 4388 | 13.0182.0749 | Laser điều trị bệnh lý võng mạc sơ sinh (ROP) [thủ thuật laser điều trị] | Laser điều trị bệnh lý võng mạc sơ sinh (ROP) | 438.500 |  |
| 4389 | 14.0029.0749 | Điều trị một số bệnh võng mạc bằng laser (bệnh võng mạc tiểu đường, cao huyết áp, trẻ đẻ non…) | Điều trị một số bệnh võng mạc bằng laser (bệnh võng mạc tiểu đường, cao huyết áp, trẻ đẻ non…) | 438.500 |  |
| 4390 | 14.0030.0749 | Laser điều trị u nguyên bào võng mạc | Laser điều trị u nguyên bào võng mạc | 438.500 |  |
| 4391 | 07.0237.0749 | Điều trị bệnh lý võng mạc đái tháo đường bằng laser | Điều trị bệnh lý võng mạc đái tháo đường bằng laser | 438.500 |  |
| 4392 | 14.0270.0750 | Chụp bản đồ giác mạc | Chụp bản đồ giác mạc | 145.500 |  |
| 4393 | 14.0269.0750 | Đếm tế bào nội mô giác mạc | Đếm tế bào nội mô giác mạc | 145.500 |  |
| 4394 | 14.0267.0750 | Đo độ dày giác mạc | Đo độ dày giác mạc | 145.500 |  |
| 4395 | 21.0073.0750 | Đo bản đồ giác mạc | Đo bản đồ giác mạc | 145.500 |  |
| 4396 | 03.1652.0751 | Đo thị giác tương phản | Đo thị giác tương phản | 77.000 |  |
| 4397 | 14.0264.0751 | Đo biên độ điều tiết | Đo biên độ điều tiết | 77.000 |  |
| 4398 | 14.0262.0751 | Đo độ lác | Đo độ lác | 77.000 |  |
| 4399 | 14.0265.0751 | Đo thị giác 2 mắt | Đo thị giác 2 mắt | 77.000 |  |
| 4400 | 14.0263.0751 | Xác định sơ đồ song thị | Xác định sơ đồ song thị | 77.000 |  |
| 4401 | 14.0276.0752 | Đo độ lồi | Đo độ lồi | 68.000 |  |
| 4402 | 14.0268.0752 | Đo đường kính giác mạc | Đo đường kính giác mạc | 68.000 |  |
| 4403 | 21.0076.0752 | Đo độ lồi mắt bằng thước đo Hertel | Đo độ lồi mắt bằng thước đo Hertel | 68.000 |  |
| 4404 | 14.0259.0753 | Đo khúc xạ giác mạc | Đo khúc xạ giác mạc | 41.900 |  |
| 4405 | 21.0085.0753 | Đo khúc xạ giác mạc Javal | Đo khúc xạ giác mạc Javal | 41.900 |  |
| 4406 | 03.4215.0754 | Đo khúc xạ khách quan | Đo khúc xạ khách quan | 12.700 |  |
| 4407 | 14.0258.0754 | Đo khúc xạ máy | Đo khúc xạ máy | 12.700 |  |
| 4408 | 14.0255.0755 | Đo nhãn áp | Đo nhãn áp | 31.600 |  |
| 4409 | 14.0254.0757 | Đo thị trường chu biên | Đo thị trường chu biên | 31.100 |  |
| 4410 | 14.0253.0757 | Đo thị trường trung tâm, thị trường âm điểm | Đo thị trường trung tâm, thị trường âm điểm | 31.100 |  |
| 4411 | 21.0080.0757 | Đo thị trường trung tâm, tìm âm điểm | Đo thị trường trung tâm, tìm âm điểm | 31.100 |  |
| 4412 | 14.0275.0758 | Đo công suất thể thuỷ tinh nhân tạo bằng siêu âm | Đo công suất thể thuỷ tinh nhân tạo bằng siêu âm | 69.400 |  |
| 4413 | 21.0091.0758 | Đo công suất thể thuỷ tinh nhân tạo tự động bằng siêu âm | Đo công suất thể thuỷ tinh nhân tạo tự động bằng siêu âm | 69.400 |  |
| 4414 | 03.1691.0759 | Đốt lòng xiêu | Đốt lòng xiêu | 53.600 |  |
| 4415 | 14.0205.0759 | Đốt lòng xiêu, nhỏ lòng siêu | Đốt lòng xiêu, nhỏ lòng siêu | 53.600 |  |
| 4416 | 14.0067.0762 | Phẫu thuật ghép màng sinh học bề mặt nhân cầu | Phẫu thuật ghép màng sinh học bề mặt nhân cầu | 1.130.200 | Chưa bao gồm chi phí màng ối. |
| 4417 | 03.1578.0763 | Gọt giác mạc đơn thuần | Gọt giác mạc đơn thuần | 860.200 |  |
| 4418 | 03.1660.0764 | Khâu cò mi, tháo cò | Khâu cò mi, tháo cò | 452.400 |  |
| 4419 | 03.1668.0766 | Khâu củng mạc | Khâu củng mạc | 1.322.100 |  |
| 4420 | 03.1669.0767 | Thăm dò, khâu vết thương củng mạc | Thăm dò, khâu vết thương củng mạc | 1.244.100 |  |
| 4421 | 14.0177.0767 | Khâu củng mạc | Khâu củng mạc | 1.244.100 |  |
| 4422 | 03.1663.0768 | Khâu da mi | Khâu da mi [gây mê] | 1.595.200 |  |
| 4423 | 03.1688.0768 | Khâu kết mạc | Khâu kết mạc [gây mê] | 1.595.200 |  |
| 4424 | 14.0106.0768 | Đóng lỗ rò đường lệ | Đóng lỗ rò đường lệ [gây mê] | 1.595.200 |  |
| 4425 | 03.1663.0769 | Khâu da mi | Khâu da mi [gây tê] | 897.100 |  |
| 4426 | 14.0106.0769 | Đóng lỗ rò đường lệ | Đóng lỗ rò đường lệ [gây tê] | 897.100 |  |
| 4427 | 14.0171.0769 | Khâu da mi đơn giản | Khâu da mi đơn giản | 897.100 |  |
| 4428 | 14.0201.0769 | Khâu kết mạc | Khâu kết mạc [gây tê] | 897.100 |  |
| 4429 | 03.1667.0770 | Khâu giác mạc | Khâu giác mạc [đơn thuần] | 799.600 |  |
| 4430 | 03.1670.0770 | Khâu lại mép mô giác mạc, củng mạc | Khâu lại mép mô giác mạc, củng mạc | 799.600 |  |
| 4431 | 03.1667.0771 | Khâu giác mạc | Khâu giác mạc [phức tạp] | 1.244.100 |  |
| 4432 | 03.1664.0772 | Khâu phục hồi bờ mi | Khâu phục hồi bờ mi | 813.600 |  |
| 4433 | 03.2923.0772 | Phẫu thuật cắt bỏ da thừa mi mắt | Phẫu thuật cắt bỏ da thừa mi mắt | 813.600 |  |
| 4434 | 03.1665.0773 | Xử lý vết thương phần mềm, tổn thương nông vùng mắt | Xử lý vết thương phần mềm, tổn thương nông vùng mắt | 1.043.500 |  |
| 4435 | 28.0033.0773 | Xử lý vết thương phần mềm nông vùng mi mắt | Xử lý vết thương phần mềm nông vùng mi mắt | 1.043.500 |  |
| 4436 | 03.1674.0774 | Cắt bỏ nhân cầu ± cắt thị thần kinh dài | Cắt bỏ nhân cầu ± cắt thị thần kinh dài | 830.200 |  |
| 4437 | 03.1676.0774 | Cắt thị thần kinh | Cắt thị thần kinh | 830.200 |  |
| 4438 | 14.0184.0774 | Cắt bỏ nhân cầu có hoặc không cắt thị thần kinh dài | Cắt bỏ nhân cầu có hoặc không cắt thị thần kinh dài | 830.200 |  |
| 4439 | 03.1646.0775 | Lạnh đông điều trị K võng mạc | Lạnh đông điều trị K võng mạc | 1.809.000 |  |
| 4440 | 14.0031.0775 | Lạnh đông điều trị ung thư võng mạc | Lạnh đông điều trị ung thư võng mạc | 1.809.000 |  |
| 4441 | 14.0095.0776 | laser điều trị u máu mi, kết mạc, hóc mắt | laser điều trị u máu mi, kết mạc, hóc mắt | 1.529.000 |  |
| 4442 | 03.1658.0777 | Lấy dị vật giác mạc | Lấy dị vật giác mạc [giác mạc nông, một mắt, gây mê] | 727.900 |  |
| 4443 | 14.0166.0777 | Lấy dị vật giác mạc sâu | Lấy dị vật giác mạc sâu [gây mê] | 727.900 |  |
| 4444 | 03.1658.0778 | Lấy dị vật giác mạc | Lấy dị vật giác mạc [giác mạc nông, một mắt, gây tê] | 99.400 |  |
| 4445 | 14.0214.0778 | Bóc giả mạc | Bóc giả mạc | 99.400 |  |
| 4446 | 14.0166.0778 | Lấy dị vật giác mạc sâu | Lấy dị vật giác mạc sâu [gây tê] | 99.400 |  |
| 4447 | 14.0156.0778 | Sửa seo bọng bằng kim | Sửa seo bọng bằng kim | 99.400 |  |
| 4448 | 03.1658.0779 | Lấy dị vật giác mạc | Lấy dị vật giác mạc [giác mạc sâu, một mắt, gây mê] | 946.900 |  |
| 4449 | 03.1658.0780 | Lấy dị vật giác mạc | Lấy dị vật giác mạc [giác mạc sâu, một mắt, gây tê] | 359.500 |  |
| 4450 | 14.0166.0780 | Lấy dị vật giác mạc sâu | Lấy dị vật giác mạc sâu [gây tê] | 359.500 |  |
| 4451 | 03.1581.0781 | Lấy dị vật hóc mắt | Lấy dị vật hóc mắt | 1.013.600 |  |
| 4452 | 03.1582.0781 | Lấy dị vật trong cùng mạc | Lấy dị vật trong cùng mạc | 1.013.600 |  |
| 4453 | 03.1706.0782 | Lấy dị vật kết mạc | Lấy dị vật kết mạc | 71.500 |  |
| 4454 | 03.1583.0783 | Lấy dị vật tiền phòng | Lấy dị vật tiền phòng | 1.244.100 |  |
| 4455 | 03.1689.0785 | Lấy calci đông dưới kết mạc | Lấy calci đông dưới kết mạc | 40.900 |  |
| 4456 | 14.0202.0785 | Lấy calci kết mạc | Lấy calci kết mạc | 40.900 |  |
| 4457 | 03.1680.0788 | Mô quặm bầm sinh | Mô quặm bầm sinh [1 mi - gây mê] | 1.351.400 |  |
| 4458 | 14.0187.0788 | Phẫu thuật quặm | Phẫu thuật quặm [1 mi - gây mê] | 1.351.400 |  |
| 4459 | 14.0188.0788 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [1 mi - gây mê] | 1.351.400 |  |
| 4460 | 03.1680.0789 | Mô quặm bầm sinh | Mô quặm bầm sinh [1 mi - gây tê] | 698.800 |  |
| 4461 | 14.0191.0789 | Mô quặm bầm sinh | Mô quặm bầm sinh | 698.800 |  |
| 4462 | 14.0187.0789 | Phẫu thuật quặm | Phẫu thuật quặm [1 mi - gây tê ] | 698.800 |  |
| 4463 | 14.0189.0789 | Phẫu thuật quặm bằng ghép niêm mạc môi | Phẫu thuật quặm bằng ghép niêm mạc môi | 698.800 |  |
| 4464 | 14.0188.0789 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [1 mi - gây tê] | 698.800 |  |
| 4465 | 03.1680.0790 | Mô quặm bầm sinh | Mô quặm bầm sinh [2 mi - gây mê] | 1.572.200 |  |
| 4466 | 14.0187.0790 | Phẫu thuật quặm | Phẫu thuật quặm [2 mi - gây mê] | 1.572.200 |  |
| 4467 | 14.0188.0790 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [2 mi - gây mê] | 1.572.200 |  |
| 4468 | 03.1680.0791 | Mổ quặm bẩm sinh | Mổ quặm bẩm sinh [2 mi - gây tê] | 935.200 |  |
| 4469 | 14.0187.0791 | Phẫu thuật quặm | Phẫu thuật quặm [2 mi - gây tê] | 935.200 |  |
| 4470 | 14.0188.0791 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [2 mi - gây tê ] | 935.200 |  |
| 4471 | 03.1680.0792 | Mổ quặm bẩm sinh | Mổ quặm bẩm sinh [3 mi - gây tê] | 1.188.600 |  |
| 4472 | 14.0187.0792 | Phẫu thuật quặm | Phẫu thuật quặm [3 mi - gây tê] | 1.188.600 |  |
| 4473 | 14.0188.0792 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [3 mi - gây tê] | 1.188.600 |  |
| 4474 | 03.1680.0793 | Mổ quặm bẩm sinh | Mổ quặm bẩm sinh [3 mi - gây mê] | 1.833.000 |  |
| 4475 | 14.0187.0793 | Phẫu thuật quặm | Phẫu thuật quặm [3 mi - gây mê] | 1.833.000 |  |
| 4476 | 14.0188.0793 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [3 mi - gây mê] | 1.833.000 |  |
| 4477 | 03.1680.0794 | Mổ quặm bẩm sinh | Mổ quặm bẩm sinh [4 mi - gây mê] | 2.068.800 |  |
| 4478 | 03.1678.0794 | Phẫu thuật quặm bằng ghép niêm mạc môi (Sapejko) | Phẫu thuật quặm bằng ghép niêm mạc môi (Sapejko) | 2.068.800 |  |
| 4479 | 14.0187.0794 | Phẫu thuật quặm | Phẫu thuật quặm [4 mi - gây mê] | 2.068.800 |  |
| 4480 | 14.0188.0794 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [4 mi - gây mê] | 2.068.800 |  |
| 4481 | 03.1680.0795 | Mổ quặm bẩm sinh | Mổ quặm bẩm sinh [4 mi - gây tê] | 1.387.000 |  |
| 4482 | 03.1678.0795 | Phẫu thuật quặm bằng ghép niêm mạc môi (Sapejko) | Phẫu thuật quặm bằng ghép niêm mạc môi (Sapejko) [gây tê] | 1.387.000 |  |
| 4483 | 14.0187.0795 | Phẫu thuật quặm | Phẫu thuật quặm [4 mi - gây tê ] | 1.387.000 |  |
| 4484 | 14.0188.0795 | Phẫu thuật quặm tái phát | Phẫu thuật quặm tái phát [4 mi - gây tê ] | 1.387.000 |  |
| 4485 | 03.1655.0796 | Rửa tiền phòng (máu, xuất tiết, mù, hóa chất...) | Rửa tiền phòng (máu, xuất tiết, mù, hóa chất...) | 830.200 |  |
| 4486 | 14.0183.0796 | Bơm hơi /khí tiền phòng | Bơm hơi /khí tiền phòng | 830.200 |  |
| 4487 | 03.1675.0798 | Mức nội nhân | Mức nội nhân | 599.800 | Chưa bao gồm vật liệu đột. |
| 4488 | 03.1694.0799 | Nặn tuyến bờ mi, đánh bờ mi | Nặn tuyến bờ mi, đánh bờ mi | 40.900 |  |
| 4489 | 03.1595.0800 | Nâng sàn hốc mắt | Nâng sàn hốc mắt | 2.925.900 | Chưa bao gồm tấm lót sàn |
| 4490 | 14.0101.0800 | Đặt bản silicon điều trị lõm mắt | Đặt bản silicon điều trị lõm mắt | 2.925.900 | Chưa bao gồm tấm lót sàn |
| 4491 | 14.0100.0800 | Đặt sụn sườn vào dưới màng xương điều trị lõm mắt | Đặt sụn sườn vào dưới màng xương điều trị lõm mắt | 2.925.900 | Chưa bao gồm tấm lót sàn |
| 4492 | 21.0079.0801 | Nghiệm pháp phát hiện glocom | Nghiệm pháp phát hiện glocom | 130.900 |  |
| 4493 | 03.1574.0802 | Nối thông lệ mủi ± đặt ống silicon ± áp MMC | Nối thông lệ mủi ± đặt ống silicon ± áp MMC | 1.130.200 | Chưa bao gồm ống Silicon. |
| 4494 | 03.1575.0802 | Nối thông lệ mủi nội soi | Nối thông lệ mủi nội soi | 1.130.200 | Chưa bao gồm ống Silicon. |
| 4495 | 14.0061.0802 | Nối thông lệ mủi có hoặc không đặt ống silicon có hoặc không áp thuốc chống chuyên hóa | Nối thông lệ mủi có hoặc không đặt ống silicon có hoặc không áp thuốc chống chuyên hóa | 1.130.200 | Chưa bao gồm ống Silicon. |
| 4496 | 14.0064.0802 | Phẫu thuật đặt ống silicon lệ quản - ống lệ mủi | Phẫu thuật đặt ống silicon lệ quản - ống lệ mủi | 1.130.200 | Chưa bao gồm ống Silicon. |
